arch_type,pipeline_stages,cache_type,cache_size,compute_units,branch_predictor,out_of_order,transistor_count,die_area_mm2,supply_voltage,max_frequency_ghz,cooling_type,ipc,energy,perf_per_watt
DSP,10,Inclusive,16,53,Dynamic,False,562,269.67755563650803,1.0,2.8767099185733036,liquid,9.37,123.375,0.07595
GPU,15,Exclusive,4,7,Static,False,187,316.1575538642499,0.9,2.327263972877885,passive,1.144,39.828,0.02872
GPU,8,Non-inclusive,8,9,Dynamic,True,764,211.0566036516243,0.9,1.6603192795510469,passive,2.781,43.446,0.06401
DSP,19,Inclusive,2,14,Dynamic,False,515,217.57316637384298,1.0,1.8991272882176116,passive,1.948,61.228,0.03182
FPGA,14,Inclusive,2,33,Dynamic,False,868,226.57303168155175,0.9,1.920602174126107,air,3.588,90.675,0.03957
CPU,16,Inclusive,4,2,Static,True,1621,132.2017143591575,1.1,2.499323547762639,passive,1.887,35.889,0.05258
GPU,9,Inclusive,2,38,Static,True,1078,175.99175845420635,1.2,2.5395335916213932,liquid,5.824,115.678,0.05035
FPGA,10,Non-inclusive,4,37,Dynamic,False,1941,334.5067349324879,1.0,2.278871817308243,passive,3.847,93.434,0.04117
GPU,18,Exclusive,1,37,Static,False,853,200.3031537483127,0.9,3.1670534968461945,liquid,3.695,101.424,0.03643
DSP,15,Exclusive,1,62,Static,True,1483,119.9486937323869,1.2,2.064104678231819,air,9.064,194.463,0.04661
DSP,17,Exclusive,4,61,Static,True,1824,126.85749082217468,1.2,1.1337042663004087,air,10.701,189.683,0.05642
ASIC,15,Inclusive,1,45,Static,False,1663,133.21873039070059,1.0,2.7162678813644314,liquid,4.278,110.525,0.03871
FPGA,17,Non-inclusive,8,52,Dynamic,True,535,244.7559550957087,0.9,1.954706206623451,passive,11.258,165.352,0.06809
DSP,6,Inclusive,2,23,Dynamic,True,311,308.8082096635849,0.9,2.8612867000790088,liquid,3.584,69.659,0.05145
DSP,4,Inclusive,8,49,Static,True,554,342.86969929044733,1.1,3.2786286678527548,passive,9.292,137.944,0.06736
GPU,8,Exclusive,8,19,Static,False,1197,161.14802497942543,1.1,3.494358195457055,liquid,2.519,52.67,0.04783
DSP,18,Inclusive,2,61,Static,False,364,160.73801733680972,1.0,1.499190456043037,passive,6.264,149.451,0.04191
CPU,14,Inclusive,8,26,Dynamic,False,522,196.9546417627093,1.1,2.888305512923562,air,4.134,74.026,0.05585
CPU,13,Exclusive,16,3,Dynamic,False,1560,251.7395622949901,0.9,3.10879026287311,passive,1.076,21.935,0.04905
FPGA,20,Non-inclusive,16,42,Static,True,1796,275.0136347578704,0.9,2.5883759140033074,air,12.893,144.204,0.08941
ASIC,4,Inclusive,1,50,Dynamic,True,496,75.23302712378357,1.2,2.2953688134022974,passive,6.942,135.964,0.05106
ASIC,19,Non-inclusive,16,17,Dynamic,True,1666,127.69983241678409,1.1,1.3278790634728919,air,6.158,80.314,0.07667
CPU,17,Exclusive,4,33,Dynamic,True,871,173.12556595212305,1.1,2.1579787444415426,liquid,6.142,123.192,0.04986
CPU,14,Exclusive,1,50,Static,True,998,152.70252781883812,1.1,2.1437961257683895,liquid,6.977,162.277,0.04299
DSP,16,Inclusive,16,5,Dynamic,True,267,200.24068179440096,1.2,3.578844166641332,liquid,2.828,43.763,0.06462
